Mileage,Cylinder,Liter,Cruise,Sound,Leather,Price
8221,6,3.1,1,1,1,17314.1031289016
9135,6,3.1,1,1,0,17542.0360832793
13196,6,3.1,1,1,0,16218.8478619377
16342,6,3.1,1,0,0,16336.9131400486
19832,6,3.1,1,0,1,16339.1703239255
22236,6,3.1,1,1,0,15709.0528210833
22576,6,3.1,1,1,0,15230.0033898479
22964,6,3.1,1,1,0,15048.042184116
24021,6,3.1,1,0,1,14862.0938695978
27325,6,3.1,1,1,1,15295.0182668788
10237,6,3.6,1,0,0,21335.852484891
15066,6,3.6,1,1,0,20538.0875102254
16633,6,3.6,1,1,0,20512.0940912389
19800,6,3.6,1,1,1,19924.159052404
23359,6,3.6,1,1,1,19774.2490660661
23765,6,3.6,1,1,0,19344.1655373569
24008,6,3.6,1,0,0,19105.1301244159
26034,6,3.6,1,1,1,18543.4270453653
32896,6,3.6,1,1,0,17808.1989960206
34665,6,3.6,1,1,1,17968.8382782646
8970,6,3.6,1,1,0,22358.8776781171
10577,6,3.6,1,1,1,23785.9225263772
14363,6,3.6,1,1,1,22926.0903712553
16508,6,3.6,1,0,1,21895.7587842006
18908,6,3.6,1,0,0,21273.0617139201
19467,6,3.6,1,0,1,21460.0139528911
21394,6,3.6,1,0,0,21183.1235874235
22596,6,3.6,1,0,0,20406.0995028936
24469,6,3.6,1,1,1,21058.1395799539
25245,6,3.6,1,0,0,19556.8993202892
15755,6,3.8,1,1,0,23447.6865610148
16235,6,3.8,1,1,0,23547.2394428773
18147,6,3.8,1,1,1,23016.0080086817
22102,6,3.8,1,0,1,22230.0275025572
23612,6,3.8,1,0,1,22625.0735660496
24439,6,3.8,1,0,0,21799.1720968887
25212,6,3.8,1,1,1,21341.2572070745
26779,6,3.8,1,1,0,21683.0314635547
27096,6,3.8,1,0,0,20986.0160174846
29649,6,3.8,1,1,1,20902.1037943119
2992,6,3.8,1,0,1,20698.077083173
10036,6,3.8,1,1,1,20099.25684484
18339,6,3.8,1,1,0,18145.1264890935
19592,6,3.8,1,0,0,17944.8569234593
21797,6,3.8,1,0,1,19027.8623054345
23852,6,3.8,1,1,0,18348.8985716945
25040,6,3.8,1,1,0,17750.8845746284
25052,6,3.8,1,1,0,17772.9696800412
25464,6,3.8,1,1,0,17394.0213978031
27830,6,3.8,1,1,1,17645.7450441435
17353,6,3.8,1,0,0,21908.3666246247
17787,6,3.8,1,1,0,21956.3426627084
19562,6,3.8,1,1,1,21646.1169235536
20137,6,3.8,1,1,0,21575.4568270006
20158,6,3.8,1,1,0,20952.2178015953
23767,6,3.8,1,0,1,21562.0475778626
