Cylinder,Liter,Cruise,Price
6,3.1,1,17314.1031289016
6,3.1,1,17542.0360832793
6,3.1,1,16218.8478619377
6,3.1,1,16336.9131400486
6,3.1,1,16339.1703239255
6,3.1,1,15709.0528210833
6,3.1,1,15230.0033898479
6,3.1,1,15048.042184116
6,3.1,1,14862.0938695978
6,3.1,1,15295.0182668788
6,3.6,1,21335.852484891
6,3.6,1,20538.0875102254
6,3.6,1,20512.0940912389
6,3.6,1,19924.159052404
6,3.6,1,19774.2490660661
6,3.6,1,19344.1655373569
6,3.6,1,19105.1301244159
6,3.6,1,18543.4270453653
6,3.6,1,17808.1989960206
6,3.6,1,17968.8382782646
6,3.6,1,22358.8776781171
6,3.6,1,23785.9225263772
6,3.6,1,22926.0903712553
6,3.6,1,21895.7587842006
6,3.6,1,21273.0617139201
6,3.6,1,21460.0139528911
6,3.6,1,21183.1235874235
6,3.6,1,20406.0995028936
6,3.6,1,21058.1395799539
6,3.6,1,19556.8993202892
6,3.8,1,23447.6865610148
6,3.8,1,23547.2394428773
6,3.8,1,23016.0080086817
6,3.8,1,22230.0275025572
6,3.8,1,22625.0735660496
6,3.8,1,21799.1720968887
6,3.8,1,21341.2572070745
6,3.8,1,21683.0314635547
6,3.8,1,20986.0160174846
6,3.8,1,20902.1037943119
6,3.8,1,20698.077083173
6,3.8,1,20099.25684484
6,3.8,1,18145.1264890935
6,3.8,1,17944.8569234593
6,3.8,1,19027.8623054345
6,3.8,1,18348.8985716945
6,3.8,1,17750.8845746284
6,3.8,1,17772.9696800412
6,3.8,1,17394.0213978031
6,3.8,1,17645.7450441435
6,3.8,1,21908.3666246247
6,3.8,1,21956.3426627084
6,3.8,1,21646.1169235536
6,3.8,1,21575.4568270006
6,3.8,1,20952.2178015953
6,3.8,1,21562.0475778626
6,3.8,1,19981.1279114169
6,3.8,1,19425.848616327
6,3.8,1,19191.9896168454
6,3.8,1,19641.7419023285
6,3.8,1,25589.9831546314
6,3.8,1,25098.6290571529
6,3.8,1,23420.7069479383
6,3.8,1,22661.0484850784
6,3.8,1,23493.0822950036
6,3.8,1,22435.2028189367
6,3.8,1,21878.1199960255
6,3.8,1,23077.5659102738
6,3.8,1,21698.0147455068
6,3.8,1,21831.8229163745
6,3.8,1,26831.1940371618
6,3.8,1,26060.3353495608
6,3.8,1,26781.8146452916
6,3.8,1,26302.0742843396
6,3.8,1,26190.271467539
6,3.8,1,25508.2109561095
6,3.8,1,23348.0169540994
6,3.8,1,23406.6898198106
6,3.8,1,23159.5437816049
6,3.8,1,21536.7417301751
8,5.7,1,51154.0472155256
8,5.7,1,49248.1589666803
8,5.7,1,46747.6732703394
8,5.7,1,44130.6170551092
8,5.7,1,44084.9142115635
8,5.7,1,43892.4678804136
8,5.7,1,44300.6399582244
8,5.7,1,42677.6011170355
8,5.7,1,43374.0524199582
8,5.7,1,40619.0722701075
6,2.8,1,33417.9650130136
6,2.8,1,30957.0807492764
6,2.8,1,31431.1303699804
6,2.8,1,30781.5156334759
6,2.8,1,30646.4377005909
6,2.8,1,30792.149028548
6,2.8,1,30392.7501583834
6,2.8,1,28817.081846577
6,2.8,1,29275.2087136944
6,2.8,1,28040.1285291642
8,4.6,1,39801.5513542673
8,4.6,1,40335.7373136253
8,4.6,1,39307.0091649632
8,4.6,1,38600.2395609372
8,4.6,1,38445.8971686577
8,4.6,1,36077.7961212207
8,4.6,1,35866.5827089002
8,4.6,1,35338.6536895564
8,4.6,1,36154.30354834
8,4.6,1,34685.6629801958
8,4.6,1,42820.3290225306
8,4.6,1,41378.0480886471
8,4.6,1,40856.3908954186
8,4.6,1,41419.0372622102
8,4.6,1,37510.2535700618
8,4.6,1,37215.1693828106
8,4.6,1,36332.8946850132
8,4.6,1,36245.1582278249
8,4.6,1,32954.1413357696
8,4.6,1,32537.1867506849
8,4.6,1,35715.7685557755
8,4.6,1,35651.6800199489
8,4.6,1,35129.3407710218
8,4.6,1,35165.7593689444
8,4.6,1,32501.2451886184
8,4.6,1,33220.0284461651
8,4.6,1,32509.4782883263
8,4.6,1,31132.2134919243
8,4.6,1,31181.7151590146
8,4.6,1,31059.1810267505
6,3.6,1,42741.5236662022
6,3.6,1,40966.6074122161
6,3.6,1,38795.379094999
6,3.6,1,38297.4625362805
6,3.6,1,37192.8963660869
6,3.6,1,36210.1229959601
6,3.6,1,36633.6338191184
6,3.6,1,35895.4994099277
6,3.6,1,34974.3780366418
6,3.6,1,32038.3395625994
8,4.6,1,48310.3295448604
8,4.6,1,48365.9808965303
8,4.6,1,45061.9519351521
8,4.6,1,44205.8758848709
8,4.6,1,42377.9554420775
8,4.6,1,41671.5831400912
8,4.6,1,41516.4298622847
8,4.6,1,41053.4821681014
8,4.6,1,38208.5010233112
8,4.6,1,39072.3920526084
8,4.6,1,70755.4667165429
8,4.6,1,68566.1871889452
8,4.6,1,69133.7317224283
8,4.6,1,66374.307040191
8,4.6,1,65281.4812369002
8,4.6,1,63913.117247728
8,4.6,1,60567.5490933118
8,4.6,1,57154.4434368902
8,4.6,1,55639.087653624
8,4.6,1,52001.9943785519
4,1.6,0,12146.188030901
4,1.6,0,12163.8204246793
4,1.6,0,11472.0227614221
4,1.6,0,11017.1687101034
4,1.6,1,11096.8572677413
4,1.6,0,10386.0402183223
4,1.6,0,11137.0456549156
4,1.6,1,11045.1088444444
4,1.6,0,10777.0525369432
4,1.6,0,9928.18817462
4,1.6,0,12649.1108932523
