0.5	1	2	0.1	0.2	0.3	0.7
-
[-0.17677247]	[-0.17573563]	[-0.13435809]	[-0.15717173]	[-0.11677945]	[-0.13994636]	[-0.15412176]
[ 0.3838471]	[ 0.38426313]	[-0.03442207]	[ 1.03828991]	[ 0.3715006]	[-0.10686535]	[ 0.99369205]
[ 0.13842089]	[ 0.13777231]	[-0.20615556]	[-0.13189769]	[ 0.0584039]	[-0.13382308]	[-0.08941205]
[ 0.37551592]	[ 0.37274536]	[ 0.415232]	[ 0.0634406]	[ 0.51668706]	[ 0.42022638]	[ 0.06054647]
[-0.54460157]	[-0.54198541]	[-0.0081534]	[ 0.04483661]	[ 0.47123217]	[-0.01933017]	[ 0.03515437]
[ 0.09004734]	[ 0.08955725]	[ 0.16000035]	[ 0.0676446]	[ 0.09497453]	[ 0.16566636]	[ 0.06731259]
-
[-0.11564097]	[-0.11374209]	[-0.14763047]	[-0.14060954]	[-0.17739065]	[-0.15615512]	[-0.13863137]
[ 0.37018508]	[ 0.36805905]	[ 0.89920879]	[-0.11454699]	[ 0.38360173]	[ 1.02357715]	[-0.09054066]
[ 0.05808995]	[ 0.05746033]	[ -1.44889586e-05]	[-0.12563464]	[ 0.13882547]	[-0.11787308]	[-0.15087643]
[ 0.51467749]	[ 0.51129763]	[ 0.05448246]	[ 0.42113109]	[ 0.37711532]	[ 0.06247145]	[ 0.41865603]
[ 0.46832295]	[ 0.46341387]	[ 0.01441618]	[-0.02078297]	[-0.54613757]	[ 0.04162006]	[-0.01650543]
[ 0.09442667]	[ 0.09352815]	[ 0.06466538]	[ 0.16639863]	[ 0.09036406]	[ 0.06760465]	[ 0.16425088]
-
1.7259824302693438	1.72398758969092	1.6224250705508718	1.9438405417328304	1.8705069552928602	1.6218893510133572	1.9123950818388842
-
279.41980360134517	280.29403542632576	257.93435338315317	254.93241989391976	278.9178952000841	255.07372439419896	255.48853375068001
-
1.7092052920726943	1.7020590890057867	0.95832147554664227	1.5032811370487968	1.6295777146073995	0.9858576908467368	1.4002392942649948
1.6213431166128878	1.6075011172416305	1.180417764526053	0.98910386167292763	1.7134347931638871	1.4693015205530846	0.9794607947817997
-
