lambda,0,0.5,2,3,4,0.2,0.4,7,0.8,0.6,0.3,0.1,8,0.9,9,0.7,6,5
,-,,,,,,,,,,,,,,,,,
Model 1 parameters,[-0.1150085],[-0.11322999],[-0.10799069],[-0.13503514],[-0.12242099],[-0.11429555],[-0.11358464],[-0.14595574],[-0.14047105],[-0.11287592],[-0.14568047],[-0.16168089],[-0.14340183],[-0.14389359],[-0.14072874],[-0.08198035],[-0.09372991],[-0.09748715]
,[-0.436001],[-0.44083284],[-0.45579954],[ 0.06367867],[-0.19931386],[-0.43791837],[-0.4398564],[ 0.94937716],[ 0.06679202],[-0.44181428],[ 0.4500402],[ 1.23081992],[ 0.94789891],[ 0.44673778],[ 0.94650457],[-0.78829257],[-0.49596072],[-0.48500704]
,[-0.15624253],[-0.14810016],[-0.12302883],[ 0.42152021],[  2.77009462e-08],[-0.15300714],[-0.14974277],[ -1.12173082e-06],[ 0.42817091],[-0.14645059],[ 0.07473493],[-0.27135831],[ -3.23469514e-08],[ 0.0747268],[ -4.76427592e-09],[ 0.77951858],[-0.05591912],[-0.07400705]
,[ 0.21152839],[ 0.20871709],[ 0.20037934],[ 0.43590964],[ 0.47647966],[ 0.21040241],[ 0.20927835],[ -2.07219956e-09],[ 0.45156906],[ 0.20815646],[ 0.66570442],[-0.00785668],[  7.96501279e-10],[ 0.66394196],[  3.62270101e-09],[ 0.57301727],[ 0.17845839],[ 0.18385546]
,[-0.02555289],[-0.02476555],[-0.02244416],[-0.64961633],[-0.15447924],[-0.02523419],[-0.02492063],[ 0.0196973],[-0.66574434],[-0.02461137],[ 0.74214451],[ 0.04977064],[ 0.01732539],[ 0.74045425],[ 0.01497302],[-0.07299398],[-0.01567044],[-0.01731896]
,[ 0.06978201],[ 0.06751583],[ 0.06084926],[ 0.03305359],[ 0.10804667],[ 0.06887532],[ 0.06796886],[ 0.0531908],[ 0.03709276],[ 0.06706303],[ 0.03382308],[ 0.07712469],[ 0.0506057],[ 0.03176026],[ 0.04783853],[ 0.36748472],[ 0.04512561],[ 0.04893131]
,-,,,,,,,,,,,,,,,,,
Model 2 parameters,[-0.16190471],[-0.16078763],[-0.15748225],[-0.13846015],[-0.15905578],[-0.16145729],[-0.16101065],[-0.08995542],[-0.14418102],[-0.16056481],[-0.14187454],[-0.11465177],[-0.08621225],[-0.14020129],[-0.08238893],[-0.20043919],[-0.14847394],[-0.15089223]
,[ 1.23532852],[ 1.21275641],[ 1.14475533],[ 0.43814167],[ 1.10061169],[ 1.22630829],[ 1.21727627],[-0.5052187],[ 0.44726062],[ 1.20823332],[ 0.06820932],[-0.43695718],[-0.51310472],[ 0.06654109],[-0.52147816],[ 1.32453574],[ 0.96739749],[ 1.01186191]
,[-0.27560971],[-0.25432137],[-0.19008792],[ 0.07313877],[-0.06329052],[-0.26710388],[-0.25858541],[-0.04020887],[ 0.0747399],[-0.25005415],[ 0.4293916],[-0.15462838],[-0.02641503],[ 0.42791641],[-0.01192288],[-0.29754479],[-0.01683341],[-0.0605507]
,[-0.00818701],[-0.00653286],[-0.00164966],[ 0.6577471],[-0.09717296],[-0.00752576],[-0.00686343],[ 0.17282914],[ 0.66423511],[-0.00620136],[ 0.45523248],[ 0.21096516],[ 0.16708312],[ 0.45083965],[ 0.16139978],[ 0.52927051],[ -7.00082882e-09],[ -2.02670390e-08]
,[ 0.05023869],[ 0.04788197],[ 0.0406903],[ 0.73465028],[ 0.2722897],[ 0.04930081],[ 0.04835629],[-0.01403946],[ 0.7407315],[ 0.04740617],[-0.66957195],[-0.02539285],[-0.01236289],[-0.66498481],[-0.01066956],[ 0.14390467],[ 0.02289615],[ 0.02735746]
,[ 0.07748895],[ 0.07565833],[ 0.07010098],[ 0.02492713],[ 0.12094849],[ 0.07675962],[ 0.0760265],[ 0.04118388],[ 0.03210098],[ 0.07528911],[ 0.0381065],[ 0.06932862],[ 0.03717133],[ 0.03689531],[ 0.03309937],[-0.71343945],[ 0.05611767],[ 0.05958685]
,-,,,,,,,,,,,,,,,,,
rsme,0.4136269099,0.4136831511,0.414433729,0.4497781395,0.452263815,0.4136376086,0.4136640489,0.4218116678,0.4493045679,0.413706168,0.4492601107,0.4136302881,0.4225196476,0.4493163589,0.4233345771,0.4683476193,0.4205096989,0.4184049636
,-,,,,,,,,,,,,,,,,,
obj value,137.5541253293,137.5915345682,138.0912738448,162.6495013077,164.4522169172,137.5612412898,137.5788280575,143.0517668193,162.307174132,137.6068459201,162.2750562717,137.5563722188,143.532373506,162.3156930686,144.0865800151,176.3569919963,142.1700390941,140.7504217383
,-,,,,,,,,,,,,,,,,,
Model 1 norm,1.0141153237,1.0031614631,0.9704918321,1.7388135774,1.0607404429,1.0097329772,1.0053516425,1.1682221217,1.7898401271,1.0009716529,2.1121276036,1.7986111279,1.1592318689,2.101514642,1.150044865,2.6632874724,0.88486419,0.9066069743
Model 2 norm,1.8087575938,1.7579385728,1.6047664416,2.0670651102,1.8133691366,1.7884556442,1.7681185639,0.8634354654,2.1032491219,1.7477489178,1.8023863916,1.011923962,0.8423493338,1.7873785593,0.8209586881,3.2091343456,1.2117186781,1.3102491749
,-,,,,,,,,,,,,,,,,,
