0.0	0.5	2.0	3.0	4.0	0.2	0.4	7.0	0.8	0.6000000000000001	0.30000000000000004	0.1	8.0	0.9	9.0	0.7000000000000001	6.0	5.0
-
[-0.14094229]	[-0.15513944]	[-0.14763047]	[-0.13001468]	[-0.14325421]	[-0.14027756]	[-0.15564735]	[-0.11332175]	[-0.13830512]	[-0.13895845]	[-0.13994636]	[-0.14060955]	[-0.13600333]	[-0.11412208]	[-0.10525646]	[-0.12822271]	[-0.13942729]	[-0.14128488]
[-0.11827925]	[ 1.00872027]	[ 0.89920879]	[-0.04286773]	[ 0.89365728]	[-0.11074388]	[ 1.01616846]	[-0.10271813]	[-0.08623633]	[-0.09474653]	[-0.10686533]	[-0.11454712]	[ 0.88964281]	[ 0.36847739]	[-0.13918431]	[ 0.3240877]	[ 0.89155322]	[ 0.89239842]
[-0.12161121]	[-0.10371943]	[ -1.44889530e-05]	[-0.19027053]	[  1.54691984e-08]	[-0.12970345]	[-0.11081395]	[-0.09634927]	[-0.15530666]	[-0.1465234]	[-0.1338231]	[-0.12563447]	[  5.56583822e-08]	[ 0.0575973]	[-0.0413684]	[ 0.18513844]	[  3.01781785e-08]	[  1.53498621e-08]
[ 0.42161298]	[ 0.06150702]	[ 0.05448246]	[ 0.4091368]	[ 0.04812913]	[ 0.42066886]	[ 0.06198869]	[ 0.38200558]	[ 0.41831451]	[ 0.41901866]	[ 0.42022638]	[ 0.42113109]	[ 0.03571725]	[ 0.51197676]	[ 0.3682576]	[ 0.18375723]	[ 0.04168573]	[ 0.0448647]
[-0.02152108]	[ 0.03839542]	[ 0.01441618]	[-0.00469428]	[ 0.00152106]	[-0.02005289]	[ 0.04000933]	[ -6.78288291e-07]	[-0.01581146]	[-0.01720175]	[-0.01933016]	[-0.02078298]	[  2.90850143e-07]	[ 0.4644019]	[ -1.64688392e-07]	[-0.00864758]	[  2.31733717e-06]	[  2.59686727e-05]
[ 0.16677173]	[ 0.06749277]	[ 0.06466538]	[ 0.15714704]	[ 0.06002153]	[ 0.16603028]	[ 0.06755742]	[ 0.14668995]	[ 0.16390559]	[ 0.16459903]	[ 0.16566636]	[ 0.16639863]	[ 0.04360358]	[ 0.0937064]	[ 0.14184894]	[-0.29900137]	[ 0.05217748]	[ 0.05632192]
-
[-0.15768137]	[-0.13928675]	[-0.13435809]	[-0.14535879]	[-0.12569284]	[-0.15666312]	[-0.13961608]	[-0.13766805]	[-0.15361124]	[-0.15463099]	[-0.15615512]	[-0.15717174]	[-0.10928152]	[-0.17594367]	[-0.13444006]	[-0.17907949]	[-0.11739112]	[-0.1214994]
[ 1.04560116]	[-0.09886997]	[-0.03442207]	[ 0.89648593]	[-0.05247597]	[ 1.03094983]	[-0.10290843]	[ 0.89063721]	[ 0.98610264]	[ 1.00122856]	[ 1.02357714]	[ 1.03828995]	[-0.12077516]	[ 0.38417915]	[ 0.88856872]	[ 0.35951002]	[-0.08501804]	[-0.06772959]
[-0.13886954]	[-0.1422293]	[-0.20615557]	[ -1.29947208e-09]	[-0.17281408]	[-0.12489997]	[-0.13799717]	[  4.44613734e-08]	[-0.08219113]	[-0.09658589]	[-0.11787308]	[-0.13189772]	[-0.06913369]	[ 0.13789944]	[  7.06517418e-08]	[ 0.08804837]	[-0.12302639]	[-0.14911623]
[ 0.06392707]	[ 0.41940114]	[ 0.415232]	[ 0.0512155]	[ 0.40315934]	[ 0.0629554]	[ 0.41980377]	[ 0.03864545]	[ 0.06006752]	[ 0.06102631]	[ 0.06247145]	[ 0.06344059]	[ 0.3750677]	[ 0.37331017]	[ 0.0328784]	[ 0.78613127]	[ 0.38907205]	[ 0.396254]
[ 0.04644497]	[-0.0179051]	[-0.0081534]	[ 0.00801259]	[-0.00126601]	[ 0.04322878]	[-0.01861441]	[  7.09651304e-07]	[ 0.03352314]	[ 0.03677701]	[ 0.04162006]	[ 0.04483664]	[ -3.11511928e-07]	[-0.54251436]	[  1.49617115e-07]	[-0.02917198]	[ -2.77437845e-06]	[ -5.16338912e-05]
[ 0.06763571]	[ 0.16495097]	[ 0.16000035]	[ 0.06236593]	[ 0.154315]	[ 0.06763392]	[ 0.16530668]	[ 0.04794383]	[ 0.06719882]	[ 0.06741117]	[ 0.06760466]	[ 0.06764456]	[ 0.1442456]	[ 0.08965141]	[ 0.0391374]	[ 0.57525024]	[ 0.14917095]	[ 0.15168065]
-
0.56303876104703743	0.56345917476906848	0.56640433650467326	0.56768285545433039	0.56914961077149229	0.56317066230977653	0.56335086638168175	0.57301671344915528	0.56385779760608146	0.5635797156998883	0.56325471643076774	0.56309868490674797	0.57451829197123527	0.59025603812974659	0.57615062196764899	0.60546903207574998	0.57164294085659495	0.57039190480315927
-
254.87816773887189	255.25893827167749	257.93435341868451	259.10011479893285	260.44074867083833	254.99760068869168	255.16081571700511	263.9919157292253	255.62023520062928	255.36816514248696	255.0737239675297	254.93242367074208	265.37729931887463	280.11536120109434	266.88742951174186	294.74057003740739	262.72762407226594	261.57892775224093
-
0.9907385422014654	1.4349743428349637	1.1804177643219131	0.93413105238553229	1.1465832195343051	0.98747691801714366	1.4521851870282014	0.84108534692938219	0.97787966673434346	0.98104781045134437	0.98585769268908363	0.98910384519188788	1.1049673062445329	1.6102818208142489	0.79591587664302066	1.128855029565806	1.1248460684964994	1.1348959037184447
1.5201598172469788	0.98264323329007131	0.95832147600817141	1.163438735104249	0.909723247684878	1.4863310157807621	0.98424652885830777	1.1148952866214823	1.3826944940054857	1.4176599137392962	1.469301513370455	1.5032812011232297	0.81850397492269877	1.7034981998612002	1.0950247970391409	2.0171913629123468	0.86368131727354591	0.88633149719511506
-
