0.0	1.0	10.0	0.1	0.5
[ 1.25814981]	[ 1.23942559]	[ 0.99646579]	[ 1.2566035]	[ 1.2496024]
[ 0.22220882]	[ 0.19788514]	[ 0.03098234]	[ 0.219646]	[ 0.20964742]
[-0.04755688]	[-0.02654693]	[ -3.14768628e-08]	[-0.04555371]	[-0.03705364]
[ 0.01688656]	[ 0.00019156]	[  1.12479631e-09]	[ 0.01496359]	[ 0.00681506]
-
[ 0.47236921]	[ 0.45413498]	[  7.23529188e-08]	[ 0.47102033]	[ 0.4644357]
[ 0.1143657]	[ 0.08791749]	[  5.44585557e-12]	[ 0.11152872]	[ 0.10078072]
[ 0.03755834]	[  2.78353692e-05]	[ -1.52860097e-13]	[ 0.03380443]	[ 0.01837987]
[-0.01595035]	[ -1.32598342e-09]	[  1.47024030e-12]	[-0.01164553]	[ -1.08367981e-05]
-
