0.0	1.0	10.0	0.1	0.5
[ 50.]	[ 49.98245988]	[ 49.82365546]	[ 49.9982071]	[ 49.99087198]
[ 7.8]	[ 7.77185144]	[ 7.51284679]	[ 7.79657727]	[ 7.78008865]
[-7.]	[-6.99972211]	[-6.99717174]	[-6.9999718]	[-6.99985224]
[  2.76190211e-13]	[-0.00012514]	[-0.00501408]	[ -6.37029794e-05]	[-0.00035498]
[ -3.47291010e-13]	[  7.81388461e-05]	[ 0.00382479]	[  5.18118801e-05]	[ 0.00030833]
[ 1.]	[ 1.01287354]	[ 1.13129592]	[ 1.00156301]	[ 1.00908189]
-
[ 20.]	[ 19.97984154]	[ 19.79834693]	[ 19.99789403]	[ 19.98991881]
[ 2.8]	[ 2.77022754]	[ 2.50218513]	[ 2.79658919]	[ 2.78511538]
[  1.33489484e-14]	[ 0.00028408]	[ 0.00284108]	[  3.14862730e-05]	[ 0.00014212]
[ -1.98832940e-13]	[  2.35899379e-06]	[  1.64630913e-08]	[  1.86381401e-05]	[  4.37950574e-06]
[ 2.]	[ 1.99910053]	[ 1.99100962]	[ 1.99994939]	[ 1.99955038]
[ 1.]	[ 1.01369415]	[ 1.13698348]	[ 1.00156713]	[ 1.00684635]
-
