0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
-
[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 1.23118959]	[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]	[ 0.48918982]	[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]
[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.21428873]	[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]	[ 0.10685116]	[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]
[-0.15407769]	[  9.22554984e-08]	[  9.22555148e-08]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[  9.22555523e-08]	[  9.22555007e-08]	[-0.15407769]	[  9.22555108e-08]	[-0.15407769]	[-0.15407769]	[  9.22555103e-08]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[-0.15407769]	[  9.22554998e-08]	[-0.15407769]	[  9.22554772e-08]	[  9.22554963e-08]	[  9.22555160e-08]
[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.00048609]	[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]	[ 0.04134505]	[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]
-
[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 0.48918982]	[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 1.23118959]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 0.48918982]	[ 1.23118959]	[ 0.48918982]	[ 1.23118959]	[ 1.23118959]	[ 1.23118959]
[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.10685116]	[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.21428873]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.10685116]	[ 0.21428873]	[ 0.10685116]	[ 0.21428873]	[ 0.21428873]	[ 0.21428873]
[  9.22554928e-08]	[-0.15407769]	[-0.15407769]	[  9.22555078e-08]	[  9.22555124e-08]	[  9.22554942e-08]	[  9.22554951e-08]	[  9.22555017e-08]	[-0.15407769]	[-0.15407769]	[  9.22554496e-08]	[-0.15407769]	[  9.22554972e-08]	[  9.22554432e-08]	[-0.15407769]	[  9.22554939e-08]	[  9.22554458e-08]	[  9.22554985e-08]	[  9.22555036e-08]	[  9.22555120e-08]	[-0.15407769]	[  9.22554834e-08]	[-0.15407769]	[-0.15407769]	[-0.15407769]
[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.04134505]	[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.00048609]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.04134505]	[ 0.00048609]	[ 0.04134505]	[ 0.00048609]	[ 0.00048609]	[ 0.00048609]
-
